date,channel,campaign,impressions,clicks,conversions,revenue,marketing_spend,conversion_rate,cac,roi
10-01-2024,Paid Ads,Diwali Sale,11297,3941,443,362775.17,103021.88,11.24,232.56,252.13
28-04-2024,Paid Ads,Black Friday,5995,3306,1119,468334.99,67786.14,33.85,60.58,590.9
12-02-2024,Social,Diwali Sale,20480,4790,856,431926.18,36830.79,17.87,43.03,1072.73
10-05-2024,Paid Ads,Diwali Sale,35677,775,1194,241736.18,104385.59,154.06,87.43,131.58
05-04-2024,Paid Ads,New Year Blast,34878,3837,586,438423.64,126208.14,15.27,215.37,247.38
03-01-2024,Paid Ads,New Year Blast,43708,3216,270,399786.67,32377.29,8.4,119.92,1134.77
02-04-2024,Paid Ads,Black Friday,41137,924,310,138915.67,148271.79,33.55,478.3,-6.31
19-06-2024,Social,Flash Sale,7177,3445,633,352225.42,157144.6,18.37,248.25,124.14
24-06-2024,SEO,Diwali Sale,42899,3653,584,199634.28,14895.64,15.99,25.51,1240.22
31-05-2024,Social,Summer Promo,12852,4603,884,43608.33,58350.53,19.2,66.01,-25.26
01-04-2024,Email,New Year Blast,15074,3939,179,259302.91,168176.5,4.54,939.53,54.18
05-03-2024,SEO,Summer Promo,14074,2115,32,177726.86,15374.47,1.51,480.45,1055.99
15-02-2024,Email,Summer Promo,42989,2058,1168,488310.54,150558.76,56.75,128.9,224.33
21-06-2024,Paid Ads,New Year Blast,13089,3998,762,133133.39,28066.14,19.06,36.83,374.36
23-04-2024,SEO,Black Friday,44612,3287,673,297387.71,184380.4,20.47,273.97,61.29
27-03-2024,SEO,New Year Blast,30537,2184,381,124336.29,135329.87,17.45,355.2,-8.12
15-06-2024,Paid Ads,New Year Blast,45474,563,1192,59099.17,13184.28,211.72,11.06,348.25
22-05-2024,SEO,New Year Blast,10066,982,378,343763.57,46371.88,38.49,122.68,641.32
22-03-2024,Email,Diwali Sale,41171,3861,1092,24784.88,142009.94,28.28,130.05,-82.55
27-06-2024,Paid Ads,Black Friday,48957,3889,1012,93849.06,64885.36,26.02,64.12,44.64
27-04-2024,Email,Diwali Sale,24576,2139,66,447036.46,71803.15,3.09,1087.93,522.59
21-04-2024,Social,Black Friday,32831,2113,965,253620.1,27521.82,45.67,28.52,821.52
18-05-2024,SEO,Black Friday,5374,4983,308,428230.78,45296.88,6.18,147.07,845.39
16-01-2024,Paid Ads,Flash Sale,10800,1982,427,373140.85,71490.75,21.54,167.43,421.94
29-03-2024,Email,Black Friday,44721,2850,1095,304436.39,27882.08,38.42,25.46,991.87
18-02-2024,SEO,Black Friday,25442,458,781,481490.74,105978.77,170.52,135.7,354.33
22-06-2024,Email,Summer Promo,9900,3030,889,488436.44,94185.64,29.34,105.95,418.59
05-03-2024,Social,Flash Sale,24031,3777,928,497407.61,109721.55,24.57,118.23,353.34
05-03-2024,Social,Diwali Sale,20320,495,488,137533.78,156690.43,98.59,321.09,-12.23
09-04-2024,SEO,New Year Blast,15051,1805,612,264378.31,65330.52,33.91,106.75,304.68
24-03-2024,Social,Summer Promo,13654,2226,31,274843.82,191896.8,1.39,6190.22,43.22
24-02-2024,SEO,Summer Promo,49849,3416,782,172786.98,20313.31,22.89,25.98,750.61
18-02-2024,Social,Diwali Sale,19520,1732,894,140236.49,64553.52,51.62,72.21,117.24
09-06-2024,Social,Black Friday,36461,2645,776,245335.77,68092.82,29.34,87.75,260.3
14-04-2024,SEO,Diwali Sale,22309,2179,267,451202.87,95098.05,12.25,356.17,374.46
11-06-2024,Email,Summer Promo,18309,4067,143,249715.13,37861.58,3.52,264.77,559.55
06-04-2024,Paid Ads,Summer Promo,35960,570,340,134236.19,171002.32,59.65,502.95,-21.5
04-04-2024,Paid Ads,Summer Promo,19292,1307,866,213243.41,184072.9,66.26,212.56,15.85
03-04-2024,Social,Flash Sale,38379,2689,483,325483.54,95043.9,17.96,196.78,242.46
22-05-2024,Social,Black Friday,7808,3331,1140,121333.8,142890.46,34.22,125.34,-15.09
13-04-2024,Paid Ads,Flash Sale,37824,1036,80,436754.88,192893.4,7.72,2411.17,126.42
08-04-2024,Email,Flash Sale,32169,756,857,66441.28,148263.31,113.36,173,-55.19
04-06-2024,SEO,Diwali Sale,35851,1707,352,269947.15,158406.56,20.62,450.02,70.41
09-05-2024,Paid Ads,Summer Promo,14155,918,1159,98309.83,59148.95,126.25,51.03,66.21
28-02-2024,Paid Ads,Flash Sale,23869,3421,409,435001.93,120963.66,11.96,295.75,259.61
20-01-2024,Social,Black Friday,23062,3937,144,308558.89,15021.78,3.66,104.32,1954.08
02-06-2024,SEO,Flash Sale,38799,400,1029,141403.08,110048,257.25,106.95,28.49
23-01-2024,Email,Flash Sale,30439,3658,827,333363.62,59782.93,22.61,72.29,457.62
26-05-2024,Email,Black Friday,9737,842,771,180378.7,144847.12,91.57,187.87,24.53
17-01-2024,Email,Summer Promo,33531,4621,1075,431718.28,174327.16,23.26,162.16,147.65
09-02-2024,SEO,Flash Sale,46256,759,791,492742.03,181347.99,104.22,229.26,171.71
